mobileNumber,deviceId,contentId,userId
9876500001,DEV_0001,1,1
9876500002,DEV_0002,2,2
9876500003,DEV_0003,3,3
9876500004,DEV_0004,4,4
9876500005,DEV_0005,5,5
9876500006,DEV_0006,6,6
9876500007,DEV_0007,7,7
9876500008,DEV_0008,8,8
9876500009,DEV_0009,9,9
9876500010,DEV_0010,10,10
9876500011,DEV_0011,11,11
9876500012,DEV_0012,12,12
9876500013,DEV_0013,13,13
9876500014,DEV_0014,14,14
9876500015,DEV_0015,15,15
9876500016,DEV_0016,16,16
9876500017,DEV_0017,17,17
9876500018,DEV_0018,18,18
9876500019,DEV_0019,19,19
9876500020,DEV_0020,20,20
9876500021,DEV_0021,21,21
9876500022,DEV_0022,22,22
9876500023,DEV_0023,23,23
9876500024,DEV_0024,24,24
9876500025,DEV_0025,25,25
9876500026,DEV_0026,26,26
9876500027,DEV_0027,27,27
9876500028,DEV_0028,28,28
9876500029,DEV_0029,29,29
9876500030,DEV_0030,30,30
9876500031,DEV_0031,31,31
9876500032,DEV_0032,32,32
9876500033,DEV_0033,33,33
9876500034,DEV_0034,34,34
9876500035,DEV_0035,35,35
9876500036,DEV_0036,36,36
9876500037,DEV_0037,37,37
9876500038,DEV_0038,38,38
9876500039,DEV_0039,39,39
9876500040,DEV_0040,40,40
9876500041,DEV_0041,41,41
9876500042,DEV_0042,42,42
9876500043,DEV_0043,43,43
9876500044,DEV_0044,44,44
9876500045,DEV_0045,45,45
9876500046,DEV_0046,46,46
9876500047,DEV_0047,47,47
9876500048,DEV_0048,48,48
9876500049,DEV_0049,49,49
9876500050,DEV_0050,50,50
9876500051,DEV_0051,1,51
9876500052,DEV_0052,2,52
9876500053,DEV_0053,3,53
9876500054,DEV_0054,4,54
9876500055,DEV_0055,5,55
9876500056,DEV_0056,6,56
9876500057,DEV_0057,7,57
9876500058,DEV_0058,8,58
9876500059,DEV_0059,9,59
9876500060,DEV_0060,10,60
9876500061,DEV_0061,11,61
9876500062,DEV_0062,12,62
9876500063,DEV_0063,13,63
9876500064,DEV_0064,14,64
9876500065,DEV_0065,15,65
9876500066,DEV_0066,16,66
9876500067,DEV_0067,17,67
9876500068,DEV_0068,18,68
9876500069,DEV_0069,19,69
9876500070,DEV_0070,20,70
9876500071,DEV_0071,21,71
9876500072,DEV_0072,22,72
9876500073,DEV_0073,23,73
9876500074,DEV_0074,24,74
9876500075,DEV_0075,25,75
9876500076,DEV_0076,26,76
9876500077,DEV_0077,27,77
9876500078,DEV_0078,28,78
9876500079,DEV_0079,29,79
9876500080,DEV_0080,30,80
9876500081,DEV_0081,31,81
9876500082,DEV_0082,32,82
9876500083,DEV_0083,33,83
9876500084,DEV_0084,34,84
9876500085,DEV_0085,35,85
9876500086,DEV_0086,36,86
9876500087,DEV_0087,37,87
9876500088,DEV_0088,38,88
9876500089,DEV_0089,39,89
9876500090,DEV_0090,40,90
9876500091,DEV_0091,41,91
9876500092,DEV_0092,42,92
9876500093,DEV_0093,43,93
9876500094,DEV_0094,44,94
9876500095,DEV_0095,45,95
9876500096,DEV_0096,46,96
9876500097,DEV_0097,47,97
9876500098,DEV_0098,48,98
9876500099,DEV_0099,49,99
9876500100,DEV_0100,50,100
9876500101,DEV_0101,1,101
9876500102,DEV_0102,2,102
9876500103,DEV_0103,3,103
9876500104,DEV_0104,4,104
9876500105,DEV_0105,5,105
9876500106,DEV_0106,6,106
9876500107,DEV_0107,7,107
9876500108,DEV_0108,8,108
9876500109,DEV_0109,9,109
9876500110,DEV_0110,10,110
9876500111,DEV_0111,11,111
9876500112,DEV_0112,12,112
9876500113,DEV_0113,13,113
9876500114,DEV_0114,14,114
9876500115,DEV_0115,15,115
9876500116,DEV_0116,16,116
9876500117,DEV_0117,17,117
9876500118,DEV_0118,18,118
9876500119,DEV_0119,19,119
9876500120,DEV_0120,20,120
9876500121,DEV_0121,21,121
9876500122,DEV_0122,22,122
9876500123,DEV_0123,23,123
9876500124,DEV_0124,24,124
9876500125,DEV_0125,25,125
9876500126,DEV_0126,26,126
9876500127,DEV_0127,27,127
9876500128,DEV_0128,28,128
9876500129,DEV_0129,29,129
9876500130,DEV_0130,30,130
9876500131,DEV_0131,31,131
9876500132,DEV_0132,32,132
9876500133,DEV_0133,33,133
9876500134,DEV_0134,34,134
9876500135,DEV_0135,35,135
9876500136,DEV_0136,36,136
9876500137,DEV_0137,37,137
9876500138,DEV_0138,38,138
9876500139,DEV_0139,39,139
9876500140,DEV_0140,40,140
9876500141,DEV_0141,41,141
9876500142,DEV_0142,42,142
9876500143,DEV_0143,43,143
9876500144,DEV_0144,44,144
9876500145,DEV_0145,45,145
9876500146,DEV_0146,46,146
9876500147,DEV_0147,47,147
9876500148,DEV_0148,48,148
9876500149,DEV_0149,49,149
9876500150,DEV_0150,50,150
9876500151,DEV_0151,1,151
9876500152,DEV_0152,2,152
9876500153,DEV_0153,3,153
9876500154,DEV_0154,4,154
9876500155,DEV_0155,5,155
9876500156,DEV_0156,6,156
9876500157,DEV_0157,7,157
9876500158,DEV_0158,8,158
9876500159,DEV_0159,9,159
9876500160,DEV_0160,10,160
9876500161,DEV_0161,11,161
9876500162,DEV_0162,12,162
9876500163,DEV_0163,13,163
9876500164,DEV_0164,14,164
9876500165,DEV_0165,15,165
9876500166,DEV_0166,16,166
9876500167,DEV_0167,17,167
9876500168,DEV_0168,18,168
9876500169,DEV_0169,19,169
9876500170,DEV_0170,20,170
9876500171,DEV_0171,21,171
9876500172,DEV_0172,22,172
9876500173,DEV_0173,23,173
9876500174,DEV_0174,24,174
9876500175,DEV_0175,25,175
9876500176,DEV_0176,26,176
9876500177,DEV_0177,27,177
9876500178,DEV_0178,28,178
9876500179,DEV_0179,29,179
9876500180,DEV_0180,30,180
9876500181,DEV_0181,31,181
9876500182,DEV_0182,32,182
9876500183,DEV_0183,33,183
9876500184,DEV_0184,34,184
9876500185,DEV_0185,35,185
9876500186,DEV_0186,36,186
9876500187,DEV_0187,37,187
9876500188,DEV_0188,38,188
9876500189,DEV_0189,39,189
9876500190,DEV_0190,40,190
9876500191,DEV_0191,41,191
9876500192,DEV_0192,42,192
9876500193,DEV_0193,43,193
9876500194,DEV_0194,44,194
9876500195,DEV_0195,45,195
9876500196,DEV_0196,46,196
9876500197,DEV_0197,47,197
