mobileNumber,deviceId,contentId,userId
9876500001,DEVICE_001,1,1
9876500002,DEVICE_002,2,2
9876500003,DEVICE_003,3,3
9876500004,DEVICE_004,4,4
9876500005,DEVICE_005,5,5
9876500006,DEVICE_006,6,6
9876500007,DEVICE_007,7,7
9876500008,DEVICE_008,8,8
9876500009,DEVICE_009,9,9
9876500010,DEVICE_010,10,10
9876500011,DEVICE_011,11,11
9876500012,DEVICE_012,12,12
9876500013,DEVICE_013,13,13
9876500014,DEVICE_014,14,14
9876500015,DEVICE_015,15,15
9876500016,DEVICE_016,16,16
9876500017,DEVICE_017,17,17
9876500018,DEVICE_018,18,18
9876500019,DEVICE_019,19,19
9876500020,DEVICE_020,20,20
9876500021,DEVICE_021,1,21
9876500022,DEVICE_022,2,22
9876500023,DEVICE_023,3,23
9876500024,DEVICE_024,4,24
9876500025,DEVICE_025,5,25
9876500026,DEVICE_026,6,26
9876500027,DEVICE_027,7,27
9876500028,DEVICE_028,8,28
9876500029,DEVICE_029,9,29
9876500030,DEVICE_030,10,30
9876500031,DEVICE_031,11,31
9876500032,DEVICE_032,12,32
9876500033,DEVICE_033,13,33
9876500034,DEVICE_034,14,34
9876500035,DEVICE_035,15,35
9876500036,DEVICE_036,16,36
9876500037,DEVICE_037,17,37
9876500038,DEVICE_038,18,38
9876500039,DEVICE_039,19,39
9876500040,DEVICE_040,20,40
9876500041,DEVICE_041,1,41
9876500042,DEVICE_042,2,42
9876500043,DEVICE_043,3,43
9876500044,DEVICE_044,4,44
9876500045,DEVICE_045,5,45
9876500046,DEVICE_046,6,46
9876500047,DEVICE_047,7,47
9876500048,DEVICE_048,8,48
9876500049,DEVICE_049,9,49
9876500050,DEVICE_050,10,50
9876500051,DEVICE_051,11,51
9876500052,DEVICE_052,12,52
9876500053,DEVICE_053,13,53
9876500054,DEVICE_054,14,54
9876500055,DEVICE_055,15,55
9876500056,DEVICE_056,16,56
9876500057,DEVICE_057,17,57
9876500058,DEVICE_058,18,58
9876500059,DEVICE_059,19,59
9876500060,DEVICE_060,20,60
9876500061,DEVICE_061,1,61
9876500062,DEVICE_062,2,62
9876500063,DEVICE_063,3,63
9876500064,DEVICE_064,4,64
9876500065,DEVICE_065,5,65
9876500066,DEVICE_066,6,66
9876500067,DEVICE_067,7,67
9876500068,DEVICE_068,8,68
9876500069,DEVICE_069,9,69
9876500070,DEVICE_070,10,70
9876500071,DEVICE_071,11,71
9876500072,DEVICE_072,12,72
9876500073,DEVICE_073,13,73
9876500074,DEVICE_074,14,74
9876500075,DEVICE_075,15,75
9876500076,DEVICE_076,16,76
9876500077,DEVICE_077,17,77
9876500078,DEVICE_078,18,78
9876500079,DEVICE_079,19,79
9876500080,DEVICE_080,20,80
9876500081,DEVICE_081,1,81
9876500082,DEVICE_082,2,82
9876500083,DEVICE_083,3,83
9876500084,DEVICE_084,4,84
9876500085,DEVICE_085,5,85
9876500086,DEVICE_086,6,86
9876500087,DEVICE_087,7,87
9876500088,DEVICE_088,8,88
9876500089,DEVICE_089,9,89
9876500090,DEVICE_090,10,90
9876500091,DEVICE_091,11,91
9876500092,DEVICE_092,12,92
9876500093,DEVICE_093,13,93
9876500094,DEVICE_094,14,94
9876500095,DEVICE_095,15,95
9876500096,DEVICE_096,16,96
9876500097,DEVICE_097,17,97
9876500098,DEVICE_098,18,98
9876500099,DEVICE_099,19,99
9876500100,DEVICE_100,20,100
